中獎序號,ID,UUID
1,85,6eaf2477-9dc4-46d6-8b68-fa75721e0424
2,104,6a32d431-a3fa-443b-979c-1e0ee019ce21
3,28,df416608-4a2a-4d46-b652-4a4731ec6c97
4,106,36cb5d75-2ca1-441b-89a7-ed331772f114
5,101,4a9b61d4-c39f-4877-b2db-73d4220122b4
6,100,6ce7f8a9-9498-408b-a513-72b8b1fff678
7,167,7053b25c-59c2-4425-869f-100e5702ed81
8,30,4c7aba18-e9c9-416d-b966-c7e9616225fe
9,141,a6128df6-bff4-49dc-b542-2265873dbe87
10,64,01439189-e38f-437e-ab44-b4f6e1429fca
11,126,e9bd0185-1575-4f20-899d-36886c23dfea
12,11,de9022cd-cc2b-40a3-a0b6-1ddd40468772
13,78,16ffef22-2460-47e9-a905-a2e6ba43f1d6
14,73,f1e61369-fcbc-4fce-8aeb-3137e1347c10
15,153,fc848390-dcc2-41c0-b516-c8f293767db6
16,50,dfc5a136-60f0-4f98-bb0e-2a2d531f3f34
17,8,ced5dc1f-0df6-493d-aed8-6d0828885cb5
18,102,6127df87-4048-4c73-8582-d66b88fb83c9
19,46,23307cba-975c-4de4-8773-27758d7caa88
20,84,7c3a785b-1229-4d76-b418-1b58f5dd5318
21,156,59be796f-b161-4a94-a293-e2199e90b361
22,72,55e54e3d-c0c0-4e0f-a87b-0bb90547eac9
23,55,b5c3d834-54d8-4587-a813-b289e6702007
24,168,336dd694-c874-49c9-ab61-da2d7cfdb74c
25,23,42da2941-1446-4311-8d5b-014dd3d2df0c
26,13,a21cf53b-5af1-4ba3-9cba-dd8cbb2f2223
27,170,17f201aa-12c2-406c-a9dd-af11f0114111
28,155,b058b301-11ef-42d4-9881-6100eac5c466
29,96,0b0cfda1-492c-4a3b-b2ff-6f976d0e655a
30,39,919c9a5f-92e8-45e0-8f47-0eb1e7f2bd10
31,40,d65bc572-e115-41db-9798-acc8a8bec5ae
32,45,a9bb9636-abb1-4137-8f33-d07c8fe0325c
33,107,4dac8919-19b7-4792-bad7-3cb6ce47e574
34,16,36ec98c4-7a02-4e57-a8ae-006552b57c6a
35,148,8b5c1e25-965b-4286-aef7-efafd74440ef
36,35,26d36959-02af-4829-b7ca-5993cbe155e6
37,111,d76efad3-3f4e-42fd-9473-7c66024e3e65
38,70,4bc30cf8-14d4-4d30-9967-2a259049ca41
39,123,b6120245-a55d-4726-94c6-502603671c83
40,171,2387e256-8d9b-4b6c-8695-b3e8b13a6b70
41,113,2ae4467b-df2f-4402-838e-eda62b08e817
42,115,c2de25cc-79e1-4309-988b-2b339e96fe5f
43,124,ea2b00a8-61c3-4303-ab79-559e8cddccd1
44,109,5a40e558-19d8-4525-8db6-37bf4a7371d9
45,5,36f06a28-58cc-44cb-aac4-7b83ff897406
46,144,ddffbdc4-8b3d-41e9-8f27-d20ce34ff1da
47,137,e114defe-493f-41f6-bd5d-8bb7df738fe8
48,18,95992e29-bda1-4c37-8ecd-9c60adfd9b11
49,147,ca5d5632-60af-4af5-be1e-1ba9948dea36
50,32,e26a2dc0-c6e4-491b-b56a-6a8c7d0d8d3f
51,131,cb2fbeab-4ceb-4a27-8dcc-2cd8830769cc
52,48,e08bc401-54b3-46d2-b0e8-de60a5f4652d
53,99,61e74615-d7a8-4930-81d2-015630ea1e0a
54,151,08fd443b-0c1b-4871-b65a-b26f81a9bf6c
55,66,f88fc5f2-22cb-4523-9e35-b830394a7e97
56,116,910787ba-1929-4964-8555-fe47c9bce413
57,112,fb81f840-0331-4b21-ae6d-fb27fd7d8f96
58,87,89d94aa8-474c-49e8-a09e-b0bad989935f
59,128,f63b5327-8b78-4a92-b408-665b28bb8201
60,26,de9b561e-6df6-44b7-b22f-9dc7726254c5
61,53,e1eb88ec-16f2-494c-a425-bf2ae8b18c83
62,105,1db4f34c-d2e4-4622-bce0-5bbb1514e6df
63,71,3df8fd65-3645-40a9-925f-a3de9e163e43
64,24,d283c42a-22c7-4874-b077-62aad8237ff1
65,43,a9dbec56-15ca-4d86-a93f-efdf92516d97
66,25,5cc74ab5-a7ec-4143-836f-e8b16706113b
67,12,ca15fc90-2042-437f-9109-1e0a7c5b3a2a
68,19,716dd954-f0da-44ee-bc43-0a83403c9f2e
69,117,67618fd5-75ad-414e-8fa3-e5515c60e469
70,77,8435fd77-43a7-4589-aee1-c81cc07f9e9c
71,1,1ebcf9ff-0ce4-4fd3-8753-ced61fca2a1f
72,165,0c5388e9-40fa-4998-b86c-ea2d0bda2f12
73,122,7443b54b-b6de-4541-9755-e8b81d478f83
74,149,a93d7681-d62b-4f9e-8d1b-5d0f6780f7c8
75,164,34508b9c-8cde-4f67-a529-6a6e3c5cd0b8
76,140,32f194dc-6f12-4af2-84ed-a8bf2d6cf78b
77,134,b7a8f96f-efd9-4b9c-9739-ab1ba75c91ba
78,14,c452058c-ad0c-41f9-a822-89a5dc731c5a
79,138,c6f72e4a-f30b-4cd5-ab36-3a61d38b953f
80,169,7219e3fd-77e4-433b-9447-cc993ce54f28
81,21,ce429e15-13fe-445d-9275-03b1e9020801
82,75,ebbc2a25-8050-4f7c-a7d6-7c0ed39aef66
83,62,afca4a4a-c127-4211-b36e-b9d3240dc4d9
84,37,3e4138a7-1905-44fe-b868-3b3e230bc0ac
85,121,e9b3fa0d-299d-472f-8b33-57ea7f23a0ed
86,145,05489938-6ed8-4eff-b5f3-5686dbe91533
87,47,3f3f791d-2b69-44e7-9153-4533f24abc0d
88,152,82fc0cc7-a038-4287-8b19-1d0708a8b504
89,36,e010d2f4-c581-4edd-bd6c-80a05f31e5ce
90,74,e3f8d6d6-2cee-4e7c-a8ee-5e0de309ea3a
91,34,f1f6cd72-6404-487d-a15f-34b7d1306673
92,136,9d5c1507-5f44-4e22-9ce4-3de7e7d6c795
93,92,3409af8f-c57d-4330-a7ce-62444951ddfb
94,143,7e35f924-78de-4700-9b1b-c120d8ee95fd
95,97,99dfc966-b17e-466f-8e01-479394c446c4
96,133,302c2c22-3389-4d0e-a4f3-f0ed5d3d54e7
97,67,117db07f-6ff9-4e17-b03e-69cc303adf70
98,159,9582bc37-8546-4ecb-b9ac-25d4c487b602
99,10,59499d9c-ec4d-453f-9770-fde9361e7684
100,15,9165348b-4c42-4e52-847d-a38d93d7d60e
101,129,4a29c64c-1a4c-4b51-831a-a715c94a6202
102,160,906b4e7b-ba0f-4566-8334-57586ecb98e3
103,150,5c5d9799-945e-406e-a26a-9b3d4f7e1ac1
104,80,8d0b5ccb-f65d-45fb-8873-399bc620a705
105,157,fbfc4b96-bb67-4bb5-a75c-1cab0dc96e7d
106,166,e08bb92c-696d-424b-bccb-077d84da2f40
107,130,bd3dde42-efc3-4279-9c2a-dbd3db963c42
108,82,6f2860fa-0009-407e-bb4b-50537e73c92b
109,61,749aee7b-3473-4d31-b529-a1ad6435bd4b
110,33,b368a00e-773b-4b82-99bd-2ac9a7d50f5f
111,65,eb09da37-e468-4673-a4cf-ec0c19c6078c
112,54,44ac563d-7a97-4fbb-bcc2-f9004f141228
113,76,6b61ec9f-98a1-4f34-82e2-4f48cfe09997
114,86,7a5b6648-8e52-4b36-9aab-7356ea29dd3b
115,83,ff26276d-1ceb-4744-b53c-35a7b6d5625d
116,4,2eb4886f-7e94-4d5f-825e-4d8a8e821de1
117,44,97b8ea0b-9a6c-4457-b802-1b278a6045ab
118,135,96668bf0-cce3-4c33-99ae-54d1515f4bd5
119,63,5b0152f6-c9e2-48fd-ab14-64138311d96d
120,41,e6222a8b-a862-4f7e-bda9-b0480f3c5e1a
121,3,e8e9ca6a-6f68-4cea-a8f5-e3f079165f2a
122,142,0b4e29e0-2583-4b68-825a-606876771fcd
123,162,84ac42e3-c5cd-4b12-8e81-74b2a31d19d9
124,154,23fbb15d-c7fd-498f-8acb-d8d47e076607
125,2,7fe1f569-ee33-42c2-ad59-e74cc81ed818
126,90,d4f19195-fd98-4258-8a1b-61fc85bf714e
127,103,cbeafa26-ae82-46c8-a024-2a225615a502
128,120,aa433b2d-92f9-42d8-9afb-8ca38babc41f
129,132,d397a40a-affc-4a3e-9649-c8884598761a
130,17,90bb5694-5566-4d7d-9220-232a12ab67c6
131,119,e4614417-78fe-44f0-9bd3-f769b5930b53
132,31,aaed676b-79db-4edc-89e3-0c7b0d958830
133,93,bb6a63e2-f3a0-4721-b240-bfad763e1958
134,68,d5a433c1-1367-46d3-b551-cf5640bcd8b6
135,22,785a9f49-28c2-4d65-9d09-e4ae696281ec
136,110,b719c899-e73c-4150-9bf2-c457150ddbf2
137,139,a2445522-3bf1-4b5b-bc81-b22a24529393
138,57,3b2a8b3b-161b-4a3e-b2fd-7e358b01b361
139,52,c9b7d723-40bd-4cc8-ab19-75fc8f28b492
140,158,ebaced82-541c-4d67-a4af-c1c3c94b8684
141,98,32a25411-c0eb-478e-9414-a6c70555efb6
142,69,0c6dd6c2-f597-4ecc-87b1-68bb0749d9ea
143,161,6b2e3b4d-62b7-47c8-a0db-5f1c558001f9
144,146,4921b046-24ee-4015-9612-6e09f3686e7e
145,114,ec2e9df8-8431-4c73-807a-417205d91aaa
146,88,451150d9-9732-4c1b-bc9b-e7b1a85e9a49
147,56,91d3d3a1-843a-4a80-aed7-188157645917
148,60,dc865a55-6266-4db8-99d7-b6dc28c1754a
149,108,ca8b4d14-0c5a-4008-abdc-8dcbdc3173f6
150,9,8c3d40a1-059e-41c1-bd99-cf55edb34902
